ALBUM,Grief Pedigree by Ka,3000 by Ambre,The Melodic Blue by Baby Keem,Back to Black by Amy Winehouse,"Eastern Medicine, Western Illness by Preservation",The Forever Story by JID
TV SHOW,The 100,Avatar - The Last Airbender,Gotham,Death Note,Grey's Anatomy,Chopped
MOVIE,The Fast and the Furious,Speed,Million Dollar Baby,Hello Dolly,Oppenheimer,Iron Man
BOOK,Fahrenheit 451 by Ray Bradbury,Little Fires Everywhere by Celeste Ng,The Lightning Thief by Rick Riordian,The Poppy War by R. F. Kuang,The Illustrated Man by Ray Bradbury,Red Dragon by Thomas Harris
